location_set_version_id,location_set_id,location_id,ihme_loc_id,location_name,level,parent_id,path_to_top_parent,region_id,region_name,super_region_id,super_region_name,sort_order,location_ascii_name,location_name_short,location_type_id,location_type,is_estimate,most_detailed,lancet_label,local_id,developed,start_date,end_date,date_inserted,last_updated
714,35,53675,POL_53675,Zachodniopomorskie,4,51,"1,31,42,51,53675",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",38,Zachodniopomorskie,Zachodniopomorskie,3,admin1,1,1,Zachodniopomorskie,,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,52,ROU,Romania,3,42,"1,31,42,52",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",39,Romania,Romania,2,admin0,1,1,Romania,ROU,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,53,SRB,Serbia,3,42,"1,31,42,53",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",40,Serbia,Serbia,2,admin0,1,1,Serbia,SRB,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,54,SVK,Slovakia,3,42,"1,31,42,54",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",41,Slovakia,Slovakia,2,admin0,1,1,Slovakia,SVK,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,55,SVN,Slovenia,3,42,"1,31,42,55",42,Central Europe,31,"Central Europe, Eastern Europe, and Central Asia",42,Slovenia,Slovenia,2,admin0,1,1,Slovenia,SVN,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,56,R9,Eastern Europe,2,31,"1,31,56",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",43,Eastern Europe,E Europe,6,region,0,0,Eastern Europe,R9,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,57,BLR,Belarus,3,56,"1,31,56,57",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",44,Belarus,Belarus,2,admin0,1,1,Belarus,BLR,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,58,EST,Estonia,3,56,"1,31,56,58",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",45,Estonia,Estonia,2,admin0,1,1,Estonia,EST,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,59,LVA,Latvia,3,56,"1,31,56,59",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",46,Latvia,Latvia,2,admin0,1,1,Latvia,LVA,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,60,LTU,Lithuania,3,56,"1,31,56,60",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",47,Lithuania,Lithuania,2,admin0,1,1,Lithuania,LTU,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
